Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal,0,1,2,3,4,5,6,7
66,1,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,4,3,2,4,3,4,4,1,1,1,1,1,1,1,1,1,-0.5994196540947806,0.2567724884490824,0.2408720947488381,-0.09600946005517122,-0.07072674202143131,-0.015915012789980365,0.37958629245423536,0.31487497581066015
67,1,1,1,1,2,0,0,0,0,1,1,1,1,1,1,2,4,3,4,5,4,4,4,1,1,1,1,1,1,1,1,0,0.33978470941107436,-0.42641752972301306,0.5793756696945704,-0.08536360360164286,-0.6188020396760234,0.46754234392339455,0.61050831930368,0.39361778873163744
69,1,1,2,0,3,0,0,2,1,1,1,1,1,1,1,0,2,1,5,4,4,4,1,1,1,1,1,1,1,1,1,1,-0.28449937719771856,-0.27319582720257646,0.15529717996386477,-0.122904977739633,-0.04389598006881169,-0.11798839525208074,0.37911290404943676,0.1021829230687639
70,1,1,2,1,3,0,1,1,0,1,1,1,1,1,1,1,3,3,5,4,3,3,4,1,1,1,1,1,1,1,1,0,-0.004264080483155422,-0.7649903858329714,0.3472561168617862,-0.26681065146016114,-0.2728333986535177,-0.08556199521577848,0.682737528505484,-0.3426961181345347
71,1,1,2,0,3,2,0,0,1,1,1,1,1,1,1,1,4,3,4,5,5,5,3,1,1,1,1,1,1,1,1,0,-0.45497060227386277,-0.49731006898033064,0.062204534261578716,0.12025498137516771,0.1255128776503937,0.22522074523123256,-0.33318988034409397,-0.009092199616344467
72,0,1,2,1,1,2,2,0,0,1,1,1,1,1,1,2,5,1,3,3,2,3,3,1,1,1,1,1,1,1,1,0,0.1310451008655823,-0.7204992609059659,0.2242484659096871,-0.2930076518545922,-0.21224025963051169,0.023617959322008053,-0.1698364717246892,-0.45717610870600617
73,1,1,2,0,2,2,0,2,0,1,1,1,1,1,1,1,4,2,4,4,3,4,3,1,1,1,1,1,1,1,1,0,-0.45497060227386277,-0.49731006898033064,0.062204534261578716,0.12025498137516771,0.1255128776503937,0.22522074523123256,-0.33318988034409397,-0.009092199616344467
74,0,2,2,0,3,2,0,1,0,1,1,1,1,1,1,1,3,2,4,4,4,5,4,1,1,1,1,1,1,1,1,0,0.19666028596535168,-0.15352527143328942,-0.54894941033159,-0.4771140554741855,0.45131143524857575,-0.029205156419186862,-0.6710431959369687,-0.17490290040025713
75,1,1,3,2,3,1,0,2,1,1,1,1,1,1,1,2,3,2,3,3,3,5,4,1,1,1,1,1,1,1,1,0,0.2520833253978299,-0.09316006146829628,-0.3898445150686858,2.989529888685898,0.62233355863042,-0.7144552899133693,0.7310924515585265,-0.20587008916252725
76,0,1,2,1,3,2,0,2,0,1,1,1,1,1,1,1,3,3,4,5,4,4,4,1,1,1,1,1,1,1,1,0,0.1310451008655823,-0.7204992609059659,0.2242484659096871,-0.2930076518545922,-0.21224025963051169,0.023617959322008053,-0.1698364717246892,-0.45717610870600617
77,0,1,2,0,3,2,0,1,1,1,1,1,1,1,1,1,4,2,5,3,2,4,4,1,1,1,1,1,1,1,1,0,-0.14919019584898086,-0.22870470227557105,0.03228952901176569,-0.1491019781340641,0.016697158954194297,-0.008808440714294208,-0.4734610961807365,-0.012297067502707561
78,0,1,2,2,2,0,1,2,0,1,1,1,1,1,1,2,4,2,1,4,1,4,4,1,1,1,1,1,1,1,1,0,0.4274913144960487,-0.21612102204966804,-0.21835550884047805,-0.052153975254763035,-0.29330061985995637,-1.0385622337032392,0.15566063630709265,0.44814892669423356
79,1,1,0,0,3,2,0,2,1,1,1,1,1,1,1,1,2,1,5,2,2,2,2,1,1,1,1,1,1,1,1,1,-0.7698908791709248,0.03265824667132822,0.14777944904655205,0.1471504990596295,0.09868211569777408,0.32729412769333294,-0.33271649193929537,0.2035998531255518
80,1,0,0,0,3,2,0,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,-1.0318959609604172,0.8180386674507272,0.08783483750618808,-0.005552420765146074,0.2860479383077219,0.20154750081592432,-0.2860409988755515,-0.3238550841127004
81,1,1,2,2,2,1,4,1,0,1,1,1,1,1,1,2,3,2,4,3,1,3,3,1,1,1,1,1,1,1,1,1,0.14481908814773747,-0.3375334989235004,-0.6775395799659578,0.8379592244254503,-0.2367269448040554,-0.6303785984499668,0.05794035958863447,-0.0143538847737818
83,0,1,1,2,3,0,2,2,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0,0.7715401043902784,0.1224518340602902,0.01376404399230613,0.12929307260375522,-0.639269260882462,-0.485457894564066,0.08343142710528867,1.1844628335604057
84,0,2,1,2,1,2,1,1,0,1,1,1,1,1,1,1,4,4,2,4,3,4,5,1,1,1,1,1,1,1,1,0,0.9469193611284666,-0.026482976875182376,-0.6605675410533356,0.044440954378434504,-0.035246126868875294,-0.16264546978564537,-0.8264534570444743,0.9105818779777478
85,0,1,2,1,3,0,2,2,1,1,1,1,1,1,1,2,4,2,4,3,4,4,4,1,1,1,1,1,1,1,1,1,0.3015163259417265,-0.4963850191282118,0.3173411116119732,-0.5361676109693929,-0.38164911734971707,-0.31959118116130525,0.5424663126688416,-0.3459009860208978
86,0,2,1,4,2,0,3,2,0,1,1,1,1,1,1,2,4,3,4,4,3,4,4,1,1,1,1,1,1,1,1,0,1.5904519322273514,0.7014921333025016,-0.8804213297055132,-0.6008697321340768,-0.6415057641061098,1.1104618954935925,0.007565182122041769,0.19803806533265686
87,0,1,1,4,3,1,1,2,0,1,1,1,1,1,1,3,4,3,2,3,1,2,2,1,1,1,1,1,1,1,1,0,1.2677096304895894,0.7735055922911473,-0.7882814667374503,0.3478985853770261,-1.1283620840407897,1.3050130605062307,-0.032844210676826704,-0.10506378112417203
88,1,1,2,0,3,0,0,1,0,1,1,1,1,1,1,2,3,3,3,4,3,3,3,1,1,1,1,1,1,1,1,0,-0.28449937719771856,-0.27319582720257646,0.15529717996386477,-0.122904977739633,-0.04389598006881169,-0.11798839525208074,0.37911290404943676,0.1021829230687639
89,1,1,2,1,3,2,0,0,0,1,1,1,1,1,1,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,-0.17473530555929961,-0.9891046276107256,0.25416347115950016,-0.0236506923453604,-0.10342454093431232,0.25764714526753485,-0.029565255888046704,-0.4539712408196431
90,0,1,1,1,3,0,0,1,0,1,1,1,1,1,1,0,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,0,0.6455651158359562,-0.15781216301825352,0.5494606644447573,-0.3547205631108747,-0.7276177583722229,0.2335131579778678,0.47023710346703756,0.39041292084527435
91,1,2,2,2,1,0,2,2,0,1,1,1,1,1,1,2,4,4,5,4,4,5,4,1,1,1,1,1,1,1,1,0,0.4675613898854993,-0.409546957912146,-0.7696794429340206,-0.11080909308565268,0.25012937513062444,-0.8249297634626049,0.0983497523875029,0.28874796168304706
92,1,2,2,1,2,2,1,0,0,1,1,1,1,1,1,2,4,3,4,5,5,4,5,1,1,1,1,1,1,1,1,0,0.17111517625503286,-0.9139251967684439,-0.3270754681838554,-0.3516627696854819,0.33118973536006907,0.2372504295626422,-0.22714735564427896,-0.6165770737171926
